barcode,title,author,category,callNumber
BHI00093,위대한 개츠비,"F.스콧 피츠제럴드 지음,김욱동 옮김.",일 반,808
BHI00094,오만과 편견,"제인 오스틴 지음,윤지관 옮김,전승희 옮김.",일 반,808
BHI00095,인간 실격,"다자이 오사무 지음,김춘미 옮김.",일 반,808
BHI00096,네루다의 우편배달부,"안토니오 스카르메타 지음,우석균 옮김",일 반,808
BHI00097,달콤 쌉싸름한 초콜릿,"라우라 에스키벨 지음,권미선 옮김",일 반,808
BHI00098,폭풍의 언덕,"에밀리 브론테 지음,김종길 옮김.",일 반,808
BHI00099,인생의 베일,"서머싯 몸 지음,황소연 옮김.",일 반,808
BHI00100,보이지 않는 도시들,"이탈로 칼비노 지음,이현경 옮김",일 반,808
BHI00101,연인,"마르그리트 뒤라스 지음,김인환 옮김.",일 반,808
BHI00102,무진기행,김승옥 지음.,일 반,808
BHI00103,깊은 강,"엔도 슈사쿠 지음,유숙자 옮김",일 반,808
BHI00104,포스트맨은 벨을 두 번 울린다,"제임스 M.케인,이만식 옮김.",일 반,808
BHI00105,분노의 포도,"존 스타인벡 지음,김승욱 옮김",일 반,808
BHI00106,분노의 포도2,"존 스타인벡 지음,김승욱 옮김",일 반,808
BHI00107,브람스를 좋아하세요..,"프랑수아즈 사강 지음,김남주 옮김.",일 반,863
BHI00108,카타리나 블룸의 잃어버린 명예,"하인리히 뵐 지음,김연수 옮김.",일 반,808
BHI00109,하드리아누스 황제의 회상록,"마르그리트 유르스나르 지음,곽광수 옮김",일 반,808
BHI00110,하드리아누스 황제의 회상록,"마르그리트 유르스나르 지음,곽광수 옮김.",일 반,808
BHI00111,면도날,"서머싯 몸 지음,안진환 옮김.",일 반,808
BHI00112,세일즈맨의 죽음,"아서 밀러 지음,강유나 옮김",일 반,808
BHI00113,아우라,"카를로스 푸엔테스 지음,송상기 옮김",일 반,808
BHI00114,참을 수 없는 존재의 가벼움,"밀란 쿤데라 지음,이재룡 옮김",일 반,808
BHI00115,지하로부터의 수기,"표도르 도스토예프스키 지음,김연경 옮김",일 반,808
BHI00116,인형의 집,"헨리크 입센 지음,안미란 옮김",일 반,808
BHI00117,베니스의 상인,"윌리엄 셰익스피어 지음,최종철 옮김",일 반,808
BHI00118,이방인,"알베르 카뮈 지음, 김화영 옮김",일 반,808.3
BHI00119,여름,"이디스 워튼 지음,김욱동 옮김",일 반,808
BHI00120,픽션들,"호르헤 루이스 보르헤스 지음,송병선 옮김",일 반,808
BHI00121,시련,"아서 밀러 지음,최영 옮김",일 반,808.3
BHI00122,이상 소설 전집,"이상 지음,권영민 책임 편집.",일 반,808
BHI00123,라쇼몬,"아쿠타가와 류노스케 지음,서은혜 옮김",일 반,808
BHI00124,사양,"다자이 오사무 지음,유숙자 옮김.",일 반,808
BHI00125,케이크와 맥주,"서머싯 몸 지음,황소연 옮김.",일 반,808
BHI00126,코뿔소,"외젠 이오네스코 지음,박형섭 옮김",일 반,808.9
BHI00127,이반 일리치의 죽음,"레프 톨스토이,옮긴이: 김연경",일 반,808
BHI00128,마지막 증명,이하진,일 반,813.7
BHI00129,재와 물거품,김청귤 지음,일 반,813.7
BHI00130,첫사랑의 침공  : 권혁일 단편집,권혁일,일 반,813.7
BHI00131,"칵테일,  러브,  좀비",조예은 지음,일 반,813.7
BHI00132,죄와 벌 : 표도르 도스토옙스키 장편소설1,"표도르 도스토옙스키,옮긴이: 홍대화",일 반,892.8
BHI00133,죄와 벌 : 표도르 미하일로비치 도스토옙스키 장편소설2,"표도르 미하일로비치 도스토옙스키 지음,홍대화 옮김",일 반,892.83
BHI00134,그레이브야드 북,"닐 게이먼 지음,황윤영 옮김",일 반,843.6
BHI00135,모순,양귀자 지음,일 반,813.7
BHI00136,지옥변,"아쿠타가와 류노스케 지음,양윤옥 옮김",일 반,808
BHI00137,묵향 : 전동조 장편 판타지 소설,전동조 지음,일 반,813.6
BHI00138,동급생,"프레드 울만 지음,황보석 옮김",일 반,843.5
BHI00139,"오스카 와일드,  아홉 가지 이야기 : 오스카 와일드 동화집","오스카 와일드 지음,최애리 옮김",일 반,843
BHI00140,캉디드 혹은 낙관주의 : 볼테르 장편소설,"볼테르 지음,이봉지 옮김",일 반,863
BHI00141,내 인생에 힘이 되어준 한마디 : 정호승 산문집,정호승 지음,일 반,814.7
BHI00142,꿈은 토리노를 달리고,"히가시노 게이고,옮긴이: 민경욱",일 반,834
BHI00143,모든 요일의 여행  :  낯선 공간을 탐닉하는 카피라이터의 기록,김민철 지음,일 반,818
BHI00144,모든 요일의 기록 : 카피라이터의 시선으로 사로잡은 일상의 순간들,김민철 지음,일 반,818
BHI00145,지옥에서 보낸 한철,"아르튀르 랭보 지음,김현 옮김",일 반,808.1
BHI00146,개와 늑대와 도플갱어 숲  : 임원묵 시집,임원묵,일 반,811.7
BHI00147,소공포  : 배시은 시집,배시은 지음,일 반,811.7
BHI00148,숲의 소실점을 향해  : 양안다 시집,양안다,일 반,811.7
BHI00149,토마토 컵라면 : 차정은 시집,차정은 지음,일 반,811.7
BHI00150,마침내 멸망하는 여름,정 지음,일 반,811.7
BHI00151,죽음의 자서전  : 김혜순 시집,김혜순 지음,일 반,811.7
BHI00152,"너와 세상 사이의 싸움에서  = ,Im Kampf zwischen dir und der Welt  : 프란츠 카프카 잠언·일기집","프란츠 카프카,옮긴이: 홍성광",일 반,856
BHI00153,이 時代의 사랑 : 최승자 시집,최승자 지음,일 반,811.6
BHI00154,입 속의 검은 잎 : 기형도 시집,기형도 지음,일 반,811.7
BHI00155,바다는 잘 있습니다 : 이병률 시집,이병률 지음,일 반,811.6
BHI00156,지구가 죽으면 달은 누굴 돌지?  : 김혜순 시집,김혜순,일 반,811.62
BHI00157,촉진하는 밤  : 김소연 시집,김소연,일 반,811.62
BHI00158,시는 나를 끌고 당신에게로 간다  : 시의 말,이원 외 88인,일 반,811.7
BHI00159,누군가를 이토록 사랑한 적  : 이병률 시집,이병률,일 반,811.7
BHI00160,머리카락은 머리위의 왕관,이다희,일 반,811.7
BHI00161,우연한 미래에 우리가 있어서  : 신용목 시집,신용목,일 반,811.7
BHI00162,당신의 이름을 지어다가 며칠은 먹었다,박준 지음,일 반,811.7
BHI00163,우리가 키스할 때 눈을 감는 건,고명재 지음,일 반,811.7
BHI00164,저는 많이 보고 있어요 : 안미옥 시집,안미옥 지음,일 반,811.7
BHI00165,영원 금지 소년 금지 천사 금지  : 육호수 시집,육호수,일 반,811.7
BHI00166,"이걸 내 마음이라고 하자,전자자료  : 황인찬 시집",황인찬 지음,일 반,811.7
BHI00167,우리를 세상의 끝으로  : 기념 티저 시집,"한정원,강정,강지혜,고선경,고영민,권누리,김근,김선오,김연덕,김이듬,류휘석,박연준,박철,박형준,변윤제,성동혁,손미,신미나,신이인,안도현,안태운,안희연,오은경,유진목,유형진,이기리,이선욱,이설야,이승희,이영광,이영은,이영주,이예진,이은규,이진우,이혜미,이훤,임솔아,임승유,임유영,장승리,전동균,전욱진,정다연,정한아,조온윤,조해주,조혜은,최지은,한여진",일 반,811.7
BHI00168,샤워젤과 소다수,고선경 지음,일 반,811
BHI00169,사랑이 죽었는지 가서 보고 오렴 : 박연준 시집,박연준,일 반,811.7
BHI00170,고백은 어째서 편지의 형식입니까?  : 오병량 시집,오병량,일 반,811.7
BHI00171,생명력 전개  : 임승유 시집,임승유,일 반,811.7
BHI00172,작약은 물속에서 더 환한데  : 이승희 시집,이승희,일 반,811.7
BHI00173,우리는 이어져 있다고 믿어  : 손미 시집,손미,일 반,811.7
BHI00174,백장미의 창백  : 신미나 시집,신미나,일 반,811.7
BHI00175,햇빛 두 개 더  : 고영민 시집,고영민,일 반,811.7
